DatoTid	Temperatur	Luftfugtighed	Afstand	Lys
Dato	Tid	Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	Lys intensitet (0-100)
2000-00-00T00:00:00	22.00	48.00	121	83
2000-00-00T00:00:00	22.00	48.00	121	83
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	122	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	122	84
2000-00-00T00:00:00	22.00	48.00	120	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	122	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	122	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	119	84
2000-00-00T00:00:00	22.00	48.00	120	84
2000-00-00T00:00:00	22.00	48.00	122	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	123	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	124	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	120	84
2000-00-00T00:00:00	22.00	48.00	120	84
2000-00-00T00:00:00	22.00	48.00	122	84
2000-00-00T00:00:00	22.00	48.00	122	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	122	84
2000-00-00T00:00:00	22.00	48.00	122	84
2000-00-00T00:00:00	22.00	48.00	120	84
2000-00-00T00:00:00	22.00	48.00	122	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	121	83
2000-00-00T00:00:00	22.00	48.00	120	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	123	84
2000-00-00T00:00:00	22.00	48.00	120	84
2000-00-00T00:00:00	22.00	48.00	122	84
2000-00-00T00:00:00	22.00	48.00	123	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	123	84
2000-00-00T00:00:00	22.00	48.00	120	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	119	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	121	84
2000-00-00T00:00:00	22.00	48.00	120	84
2000-00-00T00:00:00	22.00	48.00	121	83
